Date,Signal,DayReturn,TradeCost,PnL,Equity,Regime
2013-03-08,1,0.0042638879073639,0.0005,0.0037638879073639,1.0037638879073638,0|0
2013-03-11,1,0.0037961658173564,0.0,0.0037961658173564,1.0075743420673344,0|0
2013-03-12,0,-0.0022433158670691,0.0005,-0.0005,1.0070705548963008,0|0
2013-03-13,1,0.0014128751761963,0.0005,0.0009128751761963,1.0079898846065438,0|0
2013-03-14,1,0.0053241306071321,0.0,0.0053241306071321,1.013356554402857,0|0
2013-03-15,0,-0.0013201232252809,0.0005,-0.0005,1.0128498761256557,0|0
2013-03-18,0,-0.0055184271113079,0.0,-0.0,1.0128498761256557,0|0
2013-03-19,0,-0.0023232136568774,0.0,-0.0,1.0128498761256557,0|0
2013-03-20,1,0.0069855025176854,0.0005,0.0064855025176854,1.0194187165473059,0|0
2013-03-21,0,-0.0085432945291633,0.0005,-0.0005,1.0189090071890323,0|0
2013-03-22,1,0.0080335357684873,0.0005,0.007533535768487299,1.026584994639525,0|0
2013-03-25,0,-0.0041775227390745,0.0005,-0.0005,1.0260717021422052,0|0
2013-03-26,1,0.0080024551359472,0.0005,0.0075024551359471996,1.0337697590537922,0|0
2013-03-27,0,0.0,0.0005,-0.0005,1.0332528741742653,0|0
2013-03-28,1,0.0030734042879472,0.0005,0.0025734042879472,1.0359118515511991,0|0
2013-04-01,0,-0.0039569970077609,0.0005,-0.0005,1.0353938956254236,0|0
2013-04-02,1,0.0049340739540297,0.0005,0.004434073954029699,1.0399849087301776,0|0
2013-04-03,0,-0.0101388983403274,0.0005,-0.0005,1.0394649162758125,0|0
2013-04-04,1,0.0040582953338554,0.0005,0.0035582953338554,1.043163639437103,0|0
2013-04-05,0,-0.0044910521304941,0.0005,-0.0005,1.0426420576173847,0|0
2013-04-08,1,0.0067671218471982,0.0005,0.006267121847198199,1.0491764224354863,0|0
2013-04-09,1,0.0034566122054808,0.0,0.0034566122054808,1.0528030184629795,0|0
2013-04-10,1,0.0122491518800789,0.0,0.0122491518800789,1.065698962535938,0|0
2013-04-11,1,0.0032766378376583,0.0,0.0032766378376583,1.0691908720801366,0|0
2013-04-12,0,-0.0024493332324297,0.0005,-0.0005,1.0686562766440966,0|0
2013-04-15,0,-0.0231741312112595,0.0,-0.0,1.0686562766440966,0|0
2013-04-16,1,0.0147626774046565,0.0005,0.014262677404656499,1.0838981763743327,0|0
2013-04-17,0,-0.0146113677021653,0.0005,-0.0005,1.0833562272861457,0|0
2013-04-18,0,-0.0062535761017695,0.0,-0.0,1.0833562272861457,0|0
2013-04-19,1,0.0086933949596008,0.0005,0.0081933949596008,1.092232592738244,0|0
2013-04-22,1,0.0044376017732103,0.0,0.0044376017732103,1.0970794860285373,0|0
2013-04-23,1,0.0103097517545793,0.0,0.0103097517545793,1.1083901031845331,0|0
2013-04-24,1,0.0006339776678736,0.0,0.0006339776678736,1.1090927977572442,0|0
2013-04-25,1,0.0040532641240431,0.0,0.0040532641240431,1.1135882438046283,0|0
2013-04-26,0,-0.0017659536628503,0.0005,-0.0005,1.113031449682726,0|0
2013-04-29,1,0.0066984690232749,0.0005,0.006198469023274899,1.1199305406455151,0|0
2013-04-30,1,0.0023851158860008,0.0,0.0023851158860008,1.1226017047692263,0|0
2013-05-01,0,-0.0087674076869227,0.0005,-0.0005,1.1220404039168417,0|0
2013-05-02,1,0.0092871278500985,0.0005,0.008787127850098499,1.1318999163990353,0|0
2013-05-03,1,0.0101413559708103,0.0,0.0101413559708103,1.1433789163745685,0|0
2013-05-06,1,0.0025407467662821,0.0,0.0025407467662821,1.1462839526589823,0|0
2013-05-07,1,0.0050683809255318,0.0,0.0050683809255318,1.1520937563798823,0|0
2013-05-08,1,0.0045510243275905,0.0,0.0045510243275905,1.1573369630928323,0|0
2013-05-09,0,-0.0028160415759007,0.0005,-0.0005,1.156758294611286,0|0
2013-05-10,1,0.0032541450222576,0.0005,0.0027541450222576,1.159944174710345,0|0
2013-05-13,1,0.000795282084814,0.0,0.000795282084814,1.1608666575318765,0|0
2013-05-14,1,0.0103339316990687,0.0,0.0103339316990687,1.1728629742825372,0|0
2013-05-15,1,0.0053857828468339,0.0,0.0053857828468339,1.1791797595711146,0|0
2013-05-16,0,-0.0046951096671452,0.0005,-0.0005,1.1785901696913292,0|0
2013-05-17,1,0.0096771998598741,0.0005,0.0091771998598741,1.1894063272314697,0|0
2013-05-20,0,-5.989073293755087e-05,0.0005,-0.0005,1.188811624067854,0|0
2013-05-21,1,0.0014372363783325,0.0005,0.0009372363783325,1.1899258215689148,0|0
2013-05-22,0,-0.0074171447079757,0.0005,-0.0005,1.1893308586581304,0|0
2013-05-23,0,-0.0028924822787153,0.0,-0.0,1.1893308586581304,0|0
2013-05-24,0,-0.0008463650735716,0.0,-0.0,1.1893308586581304,0|0
2013-05-28,1,0.005988563417304,0.0005,0.0054885634173040005,1.1958585765000322,0|0
2013-05-29,0,-0.0064942332108054,0.0005,-0.0005,1.1952606472117824,0|0
2013-05-30,1,0.0036919415154759,0.0005,0.0031919415154759,1.1990758492934324,0|0
2013-05-31,0,-0.0143516951270981,0.0005,-0.0005,1.1984763113687857,0|0
2013-06-03,1,0.0055060686075858,0.0005,0.0050060686075858,1.2044759660080644,0|0
2013-06-04,0,-0.0048068531797885,0.0005,-0.0005,1.2038737280250604,0|0
2013-06-05,0,-0.0140006047882667,0.0,-0.0,1.2038737280250604,0|0
2013-06-06,1,0.0090528824373445,0.0005,0.0085528824373445,1.2141703184902664,0|0
2013-06-07,1,0.0127198628123903,0.0,0.0127198628123903,1.2296143983723389,0|0
2013-06-10,0,0.0,0.0005,-0.0005,1.2289995911731528,0|0
2013-06-11,0,-0.010315251558299,0.0,-0.0,1.2289995911731528,0|0
2013-06-12,0,-0.0082768879338732,0.0,-0.0,1.2289995911731528,0|0
2013-06-13,1,0.0152091388544997,0.0005,0.0147091388544997,1.2470771168118422,0|0
2013-06-14,0,-0.006273146503394,0.0005,-0.0005,1.2464535782534363,0|0
2013-06-17,1,0.0077217419773687,0.0005,0.0072217419773687,1.2554551443823507,0|0
2013-06-18,1,0.0079055478435512,0.0,0.0079055478435512,1.265380205091698,0|0
2013-06-19,0,-0.0138165677019028,0.0005,-0.0005,1.2647475149891523,0|0
2013-06-20,0,-0.0247782953391733,0.0,-0.0,1.2647475149891523,0|0
2013-06-21,1,0.0032100965397465,0.0005,0.0027100965397465,1.2681751028531771,0|0
2013-06-24,0,-0.0126358140013304,0.0005,-0.0005,1.2675410153017506,0|0
2013-06-25,1,0.0096138214092988,0.0005,0.009113821409298799,1.279093157744172,0|0
2013-06-26,1,0.0099014531914263,0.0,0.0099014531914263,1.2917580387730496,0|0
2013-06-27,1,0.0058694736812332,0.0,0.0058694736812332,1.2993399785841495,0|0
2013-06-28,0,-0.0040975208557766,0.0005,-0.0005,1.2986903085948576,0|0
2013-07-01,1,0.0058595852375014,0.0005,0.0053595852375014005,1.3056507500008887,0|0
2013-07-02,0,-0.0009293306386721,0.0005,-0.0005,1.3049979246258883,0|0
2013-07-03,1,0.000433958372306,0.0005,-6.6041627694e-05,1.3049117404388086,0|0
2013-07-05,1,0.0107891398561736,0.0,0.0107891398561736,1.318990615706366,0|0
2013-07-08,1,0.0057045416264143,0.0,0.0057045416264143,1.3265148525785129,0|0
2013-07-09,1,0.007197597646821,0.0,0.007197597646821,1.3360625727599051,0|0
2013-07-10,1,0.0003630852578355,0.0,0.0003630852578355,1.3365476773836202,0|0
2013-07-11,1,0.0136209801503177,0.0,0.0136209801503177,1.354752766767216,0|0
2013-07-12,1,0.0004180372536677,0.0,0.0004180372536677,1.355319103893234,0|0
2013-07-15,1,0.0038208118768958,0.0,0.0038208118768958,1.360497523222373,0|0
2013-07-16,0,-0.0037466731342784,0.0005,-0.0005,1.359817274460762,0|0
2013-07-17,1,0.0025668452812461,0.0005,0.0020668452812461,1.362627806377838,0|0
2013-07-18,1,0.005477198565303,0.0,0.005477198565303,1.370091189443973,0|0
2013-07-19,1,0.0017765615905975,0.0,0.0017765615905975,1.3725252408267552,0|0
2013-07-22,1,0.0019508971416033,0.0,0.0019508971416033,1.3752028963958625,0|0
2013-07-23,0,-0.0021241277554066,0.0005,-0.0005,1.3745152949476647,0|0
2013-07-24,0,-0.0036653872232619,0.0,-0.0,1.3745152949476647,0|0
2013-07-25,1,0.0024332447892636,0.0005,0.0019332447892636,1.3771725694793855,0|0
2013-07-26,1,0.0010653120282844,0.0,0.0010653120282844,1.3786396879826752,0|0
2013-07-29,0,-0.0030751361692972,0.0005,-0.0005,1.377950368138684,0|0
2013-07-30,0,0.0,0.0,0.0,1.377950368138684,0|0
2013-07-31,1,0.0007120510697669,0.0005,0.00021205106976690004,1.3782425639883336,0|0
2013-08-01,1,0.0115583180615834,0.0,0.0115583180615834,1.394172729908923,0|0
2013-08-02,1,0.0016987655806339,0.0,0.0016987655806339,1.3965411025559509,0|0
2013-08-05,0,-0.0014620685178473,0.0005,-0.0005,1.395842832004673,0|0
2013-08-06,0,-0.0056821580171926,0.0,-0.0,1.395842832004673,0|0
2013-08-07,0,-0.0032409140605168,0.0,-0.0,1.395842832004673,0|0
2013-08-08,1,0.0036648550617532,0.0005,0.0031648550617532,1.4002604722569547,0|0
2013-08-09,0,-0.00288559055245,0.0005,-0.0005,1.3995603420208262,0|0
2013-08-12,0,-0.0011812960639143,0.0,-0.0,1.3995603420208262,0|0
2013-08-13,1,0.0029566213408824,0.0005,0.0024566213408824,1.4029985318248872,0|0
2013-08-14,0,-0.0051294045284296,0.0005,-0.0005,1.4022970325589748,0|0
2013-08-15,0,-0.0139858888496949,0.0,-0.0,1.4022970325589748,0|0
2013-08-16,0,-0.0033060556613324,0.0,-0.0,1.4022970325589748,0|0
2013-08-19,0,-0.0063918706276098,0.0,-0.0,1.4022970325589748,0|0
2013-08-20,1,0.0049160839969795,0.0005,0.0044160839969795,1.4084896940434704,0|0
2013-08-21,0,-0.0061602340134411,0.0005,-0.0005,1.4077854491964488,0|0
2013-08-22,1,0.0091152257286457,0.0005,0.0086152257286457,1.4199138386187788,0|0
2013-08-23,1,0.0033723179225049,0.0,0.0033723179225049,1.4247022395051656,0|0
2013-08-26,0,-0.0037207087627392,0.0005,-0.0005,1.4239898883854132,0|0
2013-08-27,0,-0.0160848320161416,0.0,-0.0,1.4239898883854132,0|0
2013-08-28,1,0.0035509321081239,0.0005,0.0030509321081239,1.4283343848575318,0|0
2013-08-29,1,0.0015868079634226,0.0,0.0015868079634226,1.4306008772338543,0|0
2013-08-30,0,-0.0031675534015247,0.0005,-0.0005,1.4298855767952374,0|0
2013-09-03,1,0.0045214325219324,0.0005,0.0040214325219324,1.4356357651564038,0|0
2013-09-04,1,0.0082731819227541,0.0,0.0082731819227541,1.447513041016355,0|0
2013-09-05,1,0.0012666713879825,0.0,0.0012666713879825,1.449346564369142,0|0
2013-09-06,1,0.0004829436295505,0.0,0.0004829436295505,1.4500465170594152,0|0
2013-09-09,1,0.0095751033673348,0.0,0.0095751033673348,1.463930862347703,0|0
2013-09-10,1,0.0073972600889076,0.0,0.0073972600889076,1.4747599396886677,0|0
2013-09-11,1,0.0031387374242639,0.0,0.0031387374242639,1.4793888239031738,0|0
2013-09-12,0,-0.0026566714236536,0.0005,-0.0005,1.4786491294912223,0|0
2013-09-13,1,0.0022495585831903,0.0005,0.0017495585831902999,1.4812361127672506,0|0
2013-09-16,1,0.0057875331482801,0.0,0.0057875331482801,1.4898088158703209,0|0
2013-09-17,1,0.0044623015303577,0.0,0.0044623015303577,1.4964567920293195,0|0
2013-09-18,1,0.0115747122290372,0.0,0.0115747122290372,1.5137778487602471,0|0
2013-09-19,0,-0.0016762847745118,0.0005,-0.0005,1.513020959835867,0|0
2013-09-20,0,-0.0069916778016742,0.0,-0.0,1.513020959835867,0|0
2013-09-23,0,-0.0046275659746622,0.0,-0.0,1.513020959835867,0|0
2013-09-24,0,-0.0023536063690604,0.0,-0.0,1.513020959835867,0|0
2013-09-25,0,-0.0028902355237307,0.0,-0.0,1.513020959835867,0|0
2013-09-26,1,0.0038455231369105,0.0005,0.0033455231369105,1.5180828064636287,0|0
2013-09-27,0,-0.0045967730064704,0.0005,-0.0005,1.517323765060397,0|0
2013-09-30,0,-0.0053285908781862,0.0,-0.0,1.517323765060397,0|0
2013-10-01,1,0.0079166019264453,0.0005,0.007416601926445299,1.528577151419385,0|0
2013-10-02,0,-0.0009450103983306,0.0005,-0.0005,1.5278128628436756,0|0
2013-10-03,0,-0.0092212624541936,0.0,-0.0,1.5278128628436756,0|0
2013-10-04,1,0.0075766004354167,0.0005,0.0070766004354167,1.5386245840141106,0|0
2013-10-07,0,-0.008644407689384,0.0005,-0.0005,1.5378552717221037,0|0
2013-10-08,0,-0.0116469443848703,0.0,-0.0,1.5378552717221037,0|0
2013-10-09,1,0.0007253191188489,0.0005,0.0002253191188489,1.538201779916845,0|0
2013-10-10,1,0.0215582661435513,0.0,0.0215582661435513,1.5713627432707769,0|0
2013-10-11,1,0.0064429866674127,0.0,0.0064429866674127,1.5814870124753395,0|0
2013-10-14,1,0.0039942350473471,0.0,0.0039942350473471,1.587803843327493,0|0
2013-10-15,0,-0.0072542083208498,0.0005,-0.0005,1.5870099414058294,0|0
2013-10-16,1,0.0139655836615297,0.0005,0.013465583661529699,1.6083799565435088,0|0
2013-10-17,1,0.0066834443111429,0.0,0.0066834443111429,1.619129474414226,0|0
2013-10-18,1,0.0067543224443582,0.0,0.0067543224443582,1.630065596963584,0|0
2013-10-21,0,5.707685721900724e-05,0.0005,-0.0005,1.6292505641651023,0|0
